# Temperature,U , Cv
1.000000000000000000e+01,-8.999288780248063805e-23,-1.988912094821480557e-23
6.210526315789473983e+01,-1.126320768788410111e-21,3.565155442896098308e-23
1.142105263157894797e+02,3.625274363215558523e-21,6.752123303199080084e-23
1.663157894736842195e+02,5.910102462966421172e-21,4.309127310333034172e-23
2.184210526315789593e+02,8.115838612931037050e-21,4.220989982639223718e-23
2.705263157894736992e+02,1.030881833961150725e-20,4.206316095136082716e-23
3.226315789473684390e+02,1.249926275417811243e-20,4.203652413721934698e-23
3.747368421052631788e+02,1.468946664443752440e-20,4.203716071678862666e-23
4.268421052631579187e+02,1.687997739729608524e-20,4.204383675786638200e-23
4.789473684210526585e+02,1.907087700130991443e-20,4.205085229043268350e-23
5.310526315789473983e+02,2.126211884650959780e-20,4.205669767897798577e-23
5.831578947368420813e+02,2.345362760154024849e-20,4.206111488957073221e-23
6.352631578947368780e+02,2.564532976658065165e-20,4.206421966524237161e-23
6.873684210526316747e+02,2.783716207191814496e-20,4.206621899247140217e-23
7.394736842105263577e+02,3.002907258790135870e-20,4.206731940493216009e-23
7.915789473684210407e+02,3.222101956780054899e-20,4.206770021022373168e-23
8.436842105263158373e+02,3.441296976770361942e-20,4.206750910108468215e-23
8.957894736842106340e+02,3.660489683201884975e-20,4.206686504583543992e-23
9.478947368421053170e+02,3.879677991458541891e-20,5.203126529920767767e-23
1.000000000000000000e+03,4.202710237372575068e-20,6.199608759966299971e-23
